RecordedAtTime,DirectionRef,PublishedLineName,OriginName,OriginLat,OriginLong,DestinationName,DestinationLat,DestinationLong,VehicleRef,VehicleLocation.Latitude,VehicleLocation.Longitude,NextStopPointName,ArrivalProximityText,DistanceFromStop,ExpectedArrivalTime,ScheduledArrivalTime,time_delta,time_delta_mins,time_diff,time_diff_mins
2017-08-08 09:45:00,0,M100,,,,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_4347,40.810948,-73.953024,W 125 ST/ST NICHOLAS AV,at stop,1.0,2017-08-08 09:45:13,,0 days 19:21:32.000000000,1162,0 days 19:21:32.000000000,1162
2017-08-08 14:35:47,0,M100,1 AV/125 ST,40.801968,-73.93135799999997,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_4223,40.810949,-73.953026,W 125 ST/ST NICHOLAS AV,at stop,1.0,2017-08-08 14:36:10,14:28:11,0 days 04:50:57.000000000,291,0 days 04:50:57.000000000,291
2017-08-08 17:25:54,0,M100,1 AV/125 ST,40.801968,-73.93135799999997,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_4400,40.810912,-73.95294,W 125 ST/ST NICHOLAS AV,at stop,9.0,2017-08-08 17:26:32,17:21:11,0 days 02:50:22.000000000,171,0 days 02:50:22.000000000,171
2017-08-08 23:05:38,0,M100,1 AV/125 ST,40.801968,-73.93135799999997,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_8385,40.810904,-73.95292099999998,W 125 ST/ST NICHOLAS AV,at stop,11.0,2017-08-08 23:06:05,23:06:52,0 days 05:39:33.000000000,340,0 days 05:39:33.000000000,340
2017-08-09 09:06:48,0,M100,1 AV/125 ST,40.801968,-73.93135799999997,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_4353,40.810858,-73.952812,W 125 ST/ST NICHOLAS AV,at stop,22.0,2017-08-09 09:07:03,09:09:39,0 days 10:00:58.000000000,601,0 days 10:00:58.000000000,601
2017-08-09 15:07:38,0,M100,1 AV/125 ST,40.801968,-73.93135799999997,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_8393,40.810912,-73.95294,W 125 ST/ST NICHOLAS AV,at stop,9.0,,15:08:11,,0,,0
2017-08-10 06:18:56,0,M100,1 AV/125 ST,40.801968,-73.93135799999997,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_4405,40.810915,-73.952945,W 125 ST/ST NICHOLAS AV,at stop,9.0,2017-08-10 06:19:03,06:18:01,,0,,0
2017-08-10 09:58:43,0,M100,1 AV/125 ST,40.801968,-73.93135799999997,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_4350,40.810907,-73.952928,W 125 ST/ST NICHOLAS AV,at stop,11.0,2017-08-10 09:58:57,09:48:39,0 days 03:39:54.000000000,220,0 days 03:39:54.000000000,220
2017-08-10 18:19:26,0,M100,1 AV/125 ST,40.801968,-73.93135799999997,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_4371,40.810845,-73.952781,W 125 ST/ST NICHOLAS AV,at stop,25.0,2017-08-10 18:20:09,18:20:29,0 days 08:21:12.000000000,502,0 days 08:21:12.000000000,502
2017-08-11 07:59:52,0,M100,1 AV/125 ST,40.801968,-73.93135799999997,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_8389,40.810826,-73.952737,W 125 ST/ST NICHOLAS AV,at stop,29.0,2017-08-11 08:00:25,07:58:48,0 days 13:40:16.000000000,821,0 days 13:40:16.000000000,821
2017-08-11 13:11:08,0,M100,1 AV/125 ST,40.801968,-73.93135799999997,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_8387,40.810903,-73.952919,W 125 ST/ST NICHOLAS AV,at stop,12.0,2017-08-11 13:11:27,13:05:20,0 days 05:11:02.000000000,312,0 days 05:11:02.000000000,312
2017-08-11 15:30:37,0,M100,1 AV/125 ST,40.801968,-73.93135799999997,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_4405,40.81092,-73.952957,W 125 ST/ST NICHOLAS AV,at stop,8.0,2017-08-11 15:31:14,15:26:11,0 days 02:19:47.000000000,140,0 days 02:19:47.000000000,140
2017-08-11 17:51:33,0,M100,1 AV/125 ST,40.801968,-73.93135799999997,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_4403,40.81090800000001,-73.952931,W 125 ST/ST NICHOLAS AV,at stop,10.0,2017-08-11 17:51:50,17:50:29,0 days 02:20:36.000000000,141,0 days 02:20:36.000000000,141
2017-08-11 22:51:31,0,M100,1 AV/125 ST,40.801968,-73.93135799999997,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_8382,40.810943,-73.953013,W 125 ST/ST NICHOLAS AV,at stop,2.0,,22:46:52,,0,,0
2017-08-12 07:41:58,0,M100,1 AV/125 ST,40.801968,-73.93135799999997,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_4354,40.810943,-73.953013,W 125 ST/ST NICHOLAS AV,at stop,2.0,2017-08-12 07:42:18,07:38:52,,0,,0
2017-08-12 13:32:15,0,M100,1 AV/125 ST,40.801968,-73.93135799999997,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_4377,40.810911,-73.952937,W 125 ST/ST NICHOLAS AV,at stop,10.0,2017-08-12 13:32:43,13:33:57,0 days 05:50:25.000000000,351,0 days 05:50:25.000000000,351
2017-08-13 15:23:57,0,M100,1 AV/125 ST,40.801968,-73.93135799999997,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_4381,40.810956,-73.95304300000002,W 125 ST/ST NICHOLAS AV,at stop,0.0,,15:17:57,,0,,0
2017-08-13 17:24:54,0,M100,1 AV/125 ST,40.801968,-73.93135799999997,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_4390,40.81092,-73.952958,W 125 ST/ST NICHOLAS AV,at stop,8.0,2017-08-13 17:25:09,17:23:57,,0,,0
2017-08-13 20:45:03,0,M100,1 AV/125 ST,40.801968,-73.93135799999997,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_4747,40.810855,-73.952804,W 125 ST/ST NICHOLAS AV,at stop,23.0,2017-08-13 20:45:23,20:44:34,0 days 03:20:14.000000000,201,0 days 03:20:14.000000000,201
2017-08-14 13:26:07,0,M100,1 AV/125 ST,40.801968,-73.93135799999997,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_4100,40.810956,-73.95304300000002,W 125 ST/ST NICHOLAS AV,at stop,0.0,2017-08-14 13:26:10,13:29:20,0 days 16:40:47.000000000,1001,0 days 16:40:47.000000000,1001
2017-08-14 14:26:31,0,M100,1 AV/125 ST,40.801968,-73.93135799999997,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_4353,40.81092,-73.952957,W 125 ST/ST NICHOLAS AV,at stop,8.0,2017-08-14 14:26:41,14:28:11,0 days 01:00:31.000000000,61,0 days 01:00:31.000000000,61
2017-08-14 15:06:31,0,M100,1 AV/125 ST,40.801968,-73.93135799999997,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_8382,40.810862,-73.95281999999997,W 125 ST/ST NICHOLAS AV,at stop,21.0,2017-08-14 15:06:46,15:08:11,0 days 00:40:05.000000000,41,0 days 00:40:05.000000000,41
2017-08-14 16:46:25,0,M100,1 AV/125 ST,40.801968,-73.93135799999997,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_4100,40.810898,-73.952906,W 125 ST/ST NICHOLAS AV,at stop,13.0,,16:47:11,,0,,0
2017-08-14 18:06:23,0,M100,1 AV/125 ST,40.801968,-73.93135799999997,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_4381,40.810853,-73.952799,W 125 ST/ST NICHOLAS AV,at stop,23.0,2017-08-14 18:06:39,18:05:29,,0,,0
2017-08-14 18:46:07,0,M100,1 AV/125 ST,40.801968,-73.93135799999997,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_4384,40.810956,-73.95304300000002,W 125 ST/ST NICHOLAS AV,at stop,0.0,,18:43:29,,0,,0
2017-08-15 10:07:05,0,M100,1 AV/125 ST,40.801968,-73.93135799999997,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_4374,40.810915,-73.952947,W 125 ST/ST NICHOLAS AV,at stop,9.0,,10:04:39,,0,,0
